Time,south_north,west_east,XLAT,XLONG,XTIME,T2
0,1,22,27.87358,-86.98471,2024-08-25,302.3683
0,1,23,27.836445,-86.685455,2024-08-25,302.12115
0,1,24,27.79834,-86.386505,2024-08-25,301.9
0,1,25,27.75925,-86.08789,2024-08-25,301.99905
0,1,26,27.71917,-85.78961,2024-08-25,301.9994
0,1,27,27.678127,-85.49167,2024-08-25,301.88513
0,1,28,27.636116,-85.19409,2024-08-25,301.88873
0,1,29,27.593117,-84.89685,2024-08-25,301.78268
0,1,30,27.549171,-84.599976,2024-08-25,301.67654
0,1,31,27.504238,-84.3035,2024-08-25,301.66272
0,1,32,27.458366,-84.007385,2024-08-25,301.67108
0,1,33,27.411518,-83.71164,2024-08-25,301.79242
0,1,34,27.36372,-83.41629,2024-08-25,301.87155
0,1,35,27.31498,-83.12134,2024-08-25,302.19897
0,1,36,27.265263,-82.82684,2024-08-25,302.84515
0,1,37,27.214615,-82.532715,2024-08-25,302.4036
0,1,38,27.163029,-82.23901,2024-08-25,301.40826
0,1,39,27.11047,-81.94574,2024-08-25,301.27832
0,1,40,27.056988,-81.65292,2024-08-25,300.4373
0,1,41,27.002567,-81.360535,2024-08-25,299.87625
0,1,42,26.947208,-81.0686,2024-08-25,300.78925
0,1,43,26.890919,-80.7771,2024-08-25,301.39905
0,1,44,26.833717,-80.486084,2024-08-25,299.56964
0,1,45,26.775574,-80.19556,2024-08-25,301.86273
0,1,46,26.71651,-79.90549,2024-08-25,301.77124
0,1,47,26.656536,-79.615906,2024-08-25,301.57684
0,1,48,26.59563,-79.32678,2024-08-25,301.61035
0,1,49,26.533833,-79.03818,2024-08-25,301.66452
0,1,50,26.471104,-78.75006,2024-08-25,301.53082
0,1,51,26.407501,-78.46246,2024-08-25,301.42218
0,1,52,26.342968,-78.175415,2024-08-25,301.528
0,1,53,26.277557,-77.888824,2024-08-25,301.73047
0,1,54,26.211227,-77.60278,2024-08-25,301.71097
0,1,55,26.14402,-77.31729,2024-08-25,301.70428
0,1,56,26.07592,-77.03232,2024-08-25,301.2899
0,1,57,26.00695,-76.747894,2024-08-25,301.36224
0,1,58,25.937088,-76.46399,2024-08-25,301.48514
0,1,59,25.866348,-76.180664,2024-08-25,301.43207
0,1,60,25.794739,-75.89792,2024-08-25,301.2933
0,1,61,25.72226,-75.61572,2024-08-25,301.4779
0,1,62,25.648903,-75.334076,2024-08-25,301.74554
0,1,63,25.574707,-75.05301,2024-08-25,301.67355
0,1,64,25.499641,-74.77252,2024-08-25,301.75598
0,1,65,25.423729,-74.492645,2024-08-25,301.87378
0,1,66,25.346954,-74.21335,2024-08-25,301.65158
0,1,67,25.269348,-73.93463,2024-08-25,301.8128
0,1,68,25.190903,-73.656525,2024-08-25,302.0489
0,1,69,25.111618,-73.37903,2024-08-25,302.0935
0,1,70,25.031487,-73.10214,2024-08-25,301.92386
0,1,71,24.950523,-72.82587,2024-08-25,302.041
0,1,72,24.868744,-72.5502,2024-08-25,302.01666
0,2,0,28.706345,-93.61569,2024-08-25,303.14392
0,2,1,28.691154,-93.31036,2024-08-25,303.20795
0,2,2,28.674938,-93.00516,2024-08-25,303.20312
0,2,3,28.657707,-92.7001,2024-08-25,303.17978
0,2,4,28.639454,-92.3952,2024-08-25,302.9526
